Id	Date	Score
78645	2017-08-22	-1.0
78765	2016-06-09	-1.0
78765	2016-05-31	-1.0
78689	2015-11-05	-1.0
78645	2017-04-18	-1.0
78765	2016-05-15	-1.0
78645	2017-04-25	-1.0
78645	2017-05-18	-1.0
78658	2015-11-21	-1.0
78645	2017-06-03	-1.0
78765	2016-04-22	-1.0
78645	2017-06-19	-1.0
78765	2016-04-15	-1.0
78645	2017-07-05	-1.0
78765	2016-04-13	-1.0
78645	2017-07-21	-1.0
78765	2016-04-06	-1.0
78765	2016-04-29	-1.0
78692	2016-08-05	-1.0
78692	2016-08-03	-1.0
78692	2016-07-20	-1.0
78658	2017-03-24	-1.0
78689	2016-10-22	-1.0
78689	2016-10-15	-1.0
78689	2016-10-08	-1.0
78689	2016-10-06	-1.0
78689	2016-09-29	-1.0
78689	2016-09-22	-1.0
78689	2016-09-20	-1.0
78689	2016-09-13	-1.0
78689	2016-09-06	-1.0
78689	2016-09-04	-1.0
78658	2017-03-31	-1.0
78658	2017-04-02	-1.0
78689	2016-08-19	-1.0
78658	2017-04-09	-1.0
78689	2016-10-24	-1.0
78689	2016-08-05	-1.0
78658	2017-03-15	-1.0
78689	2016-11-07	-1.0
78689	2016-12-27	-1.0
78689	2016-12-25	-1.0
78689	2016-12-18	-1.0
